Flight No.,Date,Time,Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
1,4 June 2010,18:45,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",Failure
2,8 December 2010,15:43,F9 v1.0B0004.1,CCAFS,Dragon,0,LEO,NASA,Success,Failure
3,22 May 2012,07:44,F9 v1.0B0005.1,CCAFS,Dragon,525 kg,LEO,NASA,Success,"No attempt
"
4,8 October 2012,00:35,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",No attempt
5,1 March 2013,15:10,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
","No attempt
"
6,29 September 2013,16:00,F9 v1.1B1003,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,Uncontrolled
7,3 December 2013,22:41,F9 v1.1,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,No attempt
8,6 January 2014,22:06,F9 v1.1,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt
9,18 April 2014,19:25,F9 v1.1,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",Controlled
10,14 July 2014,15:15,F9 v1.1,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled
11,5 August 2014,08:00,F9 v1.1,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt
12,7 September 2014,05:00,F9 v1.1,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,"No attempt
"
13,21 September 2014,05:52,F9 v1.1,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,Uncontrolled
14,10 January 2015,09:47,F9 v1.1,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,Failure 
15,11 February 2015,23:03,F9 v1.1,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",Controlled
16,2 March 2015,03:50,F9 v1.1,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",No attempt
17,14 April 2015,20:10,F9 v1.1,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",Failure
18,27 April 2015,23:03,F9 v1.1,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",No attempt
19,28 June 2015,14:21,F9 v1.1,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,Precluded
20,22 December 2015,01:29,F9 FT,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",Success
21,17 January 2016,18:42,F9 v1.1,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",Failure
22,4 March 2016,23:35,F9 FT,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",Failure
23,8 April 2016,20:43,F9 FT,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,Success
24,6 May 2016,05:21,F9 FT,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
25,27 May 2016,21:39,F9 FT,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",Success
26,15 June 2016,14:29,F9 FT,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",Failure
27,18 July 2016,04:45,F9 FT,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",Success
28,14 August 2016,05:26,F9 FT,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",Success
29,14 January 2017,17:54,F9 FT,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
30,19 February 2017,14:39,F9 FT,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",Success
31,16 March 2017,06:00,F9 FT,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",No attempt
32,30 March 2017,22:27,F9 FT♺,KSC,SES-10,"5,300 kg",GTO,SES,Success,Success
33,1 May 2017,11:15,F9 FT,KSC,NROL-76,C,LEO,NRO,"Success
",Success
34,15 May 2017,23:21,F9 FT,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",No attempt
35,3 June 2017,21:07,F9 FT,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",Success
36,23 June 2017,19:10,F9 FTB1029.2,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",Success
37,25 June 2017,20:25,F9 FT,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",Success
38,5 July 2017,23:38,F9 FT,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",No attempt
39,14 August 2017,16:31,F9 B4,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",Success
40,24 August 2017,18:51,F9 FT,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",Success
41,7 September 2017,14:00,F9 B4,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",Success
42,9 October 2017,12:37,F9 B4,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",Success
43,11 October 2017,22:53:00,F9 FTB1031.2,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",Success
